id,캐릭터,표정,텍스트,선택지,배경,브금
0,나레이션,,공원 벤치에서 꽁냥거리는 커플들이 보인다,,공원,기본
1,남주,,날도 더운데 왜 이렇게 가까이 붙어 있는거야,,공원,기본
2,나레이션,,남자의 이마에 맺힌 땀이 보인다 그런데도 굳이 저렇게 붙어 있는 커플,,공원,기본
3,남주,,난 손 잡아본건 엄마밖에 없는데... 부럽다,,공원,기본
4,나레이션,,갑자기 입을 맞추는 커플 깜짝 놀라 눈을 돌렸지만 시선이 간다,,공원,기본
5,남주,,공원에서 교양없게 저래도돼?,,공원,기본
6,남주,,나도 교양 없고 싶다..,,공원,기본
7,나레이션,,얼마전 일이 떠오른다,,검은화면,기본
8,나레이션,,수업을 같이 여주... ,,검은화면,기본
9,나레이션,,한눈에 반해버려 쪽지 고백을 했지만 차여버렸다,,검은화면,기본
10,남주,,하... 학교 가기 싫다,,검은화면,기본
11,나레이션,,쿨하게 그녀에서 인사를 건냈지만 처참히 무시당했다,,학교,기본
12,나레이션,,심란한 마음을 아는지 모르는지 나를 놀려대는 친구들,,학교,기본
13,나레이션,,여주가 나를 쳐다본다,,학교,기본
14,나레이션,,여주를 보니 포기가 안된다..,,학교,기본
15,나레이션,,내가 더 나은 사람이 된다면 기회가 있지 않을까..?,,학교,기본
,,,,,,
